Team 1,5k,MoM17,MoM18,MoM19,MM17a,MM17b,MM17c,MM17d,MM17e,MM18a,MM18b,MM18c,MM18d,MM18e,MM19a,MM19b,MM19c,MM19d,MM19e
1,29:02:00,,,,,,,,,,,,,,,,,,
2,26:28:00,,,,,,,,,,,,,,,,,,
3,28:59:00,,,,,,,,,,,,,,,,,,
4,26:09:00,,,,07:03,,06:53,,,,,,,,,,,,
5,32:59:00,,,,08:06,,08:03,08:06,08:04,08:53,,09:34,09:03,,,,09:32,09:13,09:19
6,20:30:00,,,,,,,,,,,,,,,,,,
7,27:24:00,,,,,,,,,,,,,,,,,,
8,19:42,,,,,,,,,,,,,,,,,,
9,21:30,,,,,,,,,,,,,,,,,,
10,36:44:00,,,,,,,,,,,,,,,,,,
Team 2,,,,,,,,,,,,,,,,,,,
1,36:12:00,,,,,,,,,,,,,,,,,,
2,30:04:00,,,,,,,,,,,,,,,,,,
3,23:40,,06:33,,,,,,06:44,,,,,,06:59,06:44,,,06:37
4,21:03,,,,,,,,,,,,,,,,,,
5,18:45:00,,,,,,,,,,,,,,,,,,
6,27:18:00,,,,,,,,,,,,,,,,,,
7,26:38:00,,,,,,,,,07:34,,,,,07:36,,,,07:45
8,30:16:00,,,,,,,,,,,,,,,,,,
9,19:21,,,,,,,,,,,,,,,,,,
10,24:26:00,,,,,,,,,,,,,,,,,,
Team 3,,,,,,,,,,,,,,,,,,,
1,25:18:00,,,,,,,,,,,,,,,,,,
2,27:38:00,,,,,,,,,,,,,,,,,,
3,29:06:00,,,,,,,,,,,,,,,,,,
4,16:03,,,,,,,,,,,,,,,,,,
5,26:07:00,,,,,,,,,,,,,,,,,,
6,19:18,,,,05:40,,05:41,,,,,,,,,,,,
7,31:45:00,,,,09:04,,,09:39,09:25,,,,,,,,,,
8,18:58,,,,,,,,,,,,,,,,,,
9,19:13,,,,,,,,,,,,,,,,,,
10,23:10,,,,,,,,,,,,,,,,,,
Team 4,,,,,,,,,,,,,,,,,,,
1,18:02,,,,,,,,,,,,,,,,,,05:07
2,22:56,,,,,,,,,,,,,,,,,,
3,21:28,,05:33,,,,,,,,,,,,,,,,
