Team 1,5k,MoM17,MoM18,MoM19,MM17a,MM17b,MM17c,MM17d,MM17e,MM18a,MM18b,MM18c,MM18d,MM18e,MM19a,MM19b,MM19c,MM19d,MM19e,Actual
1,29:02:00,,,,,,,,,,,,,,,,,,,07:20
2,26:28:00,,,,,,,,,,,,,,,,,,,07:22
3,28:59:00,,,,,,,,,,,,,,,,,,,07:52
4,26:09:00,,,,07:03,,06:53,,,,,,,,,,,,,08:00
5,32:59:00,,,,08:06,,08:03,08:06,08:04,08:53,,09:34,09:03,,,,09:32,09:13,09:19,10:50
6,20:30:00,,,,,,,,,,,,,,,,,,,06:09
7,27:24:00,,,,,,,,,,,,,,,,,,,08:15
8,19:42,,,,,,,,,,,,,,,,,,,05:58
9,21:30,,,,,,,,,,,,,,,,,,,06:45
10,36:44:00,,,,,,,,,,,,,,,,,,,09:21
Team 2,,,,,,,,,,,,,,,,,,,,
1,36:12:00,,,,,,,,,,,,,,,,,,,09:11
2,30:04:00,,,,,,,,,,,,,,,,,,,07:55
3,23:40,,06:33,,,,,,06:44,,,,,,06:59,06:44,,,06:37,07:24
4,21:03,,,,,,,,,,,,,,,,,,,06:26
5,18:45:00,,,,,,,,,,,,,,,,,,,05:39
6,27:18:00,,,,,,,,,,,,,,,,,,,08:19
7,26:38:00,,,,,,,,,07:34,,,,,07:36,,,,07:45,07:36
8,30:16:00,,,,,,,,,,,,,,,,,,,09:53
9,19:21,,,,,,,,,,,,,,,,,,,05:26
10,24:26:00,,,,,,,,,,,,,,,,,,,06:39
Team 3,,,,,,,,,,,,,,,,,,,,
1,25:18:00,,,,,,,,,,,,,,,,,,,07:29
2,27:38:00,,,,,,,,,,,,,,,,,,,07:10
3,29:06:00,,,,,,,,,,,,,,,,,,,08:04
4,16:03,,,,,,,,,,,,,,,,,,,04:48
5,26:07:00,,,,,,,,,,,,,,,,,,,07:15
6,19:18,,,,05:40,,05:41,,,,,,,,,,,,,05:56
7,31:45:00,,,,09:04,,,09:39,09:25,,,,,,,,,,,10:13
8,18:58,,,,,,,,,,,,,,,,,,,05:42
9,19:13,,,,,,,,,,,,,,,,,,,06:21
10,23:10,,,,,,,,,,,,,,,,,,,07:15
Team 4,,,,,,,,,,,,,,,,,,,,
1,18:02,,,,,,,,,,,,,,,,,,05:07,05:11
2,22:56,,,,,,,,,,,,,,,,,,,06:55
3,21:28,,05:33,,,,,,,,,,,,,,,,,05:59
4,19:11,,,,,,,,,,,,,,,,,,,05:31
5,25:38:00,,,,,,,,,,,,,,,,,,,07:06
6,17:20,,05:25,,,05:17,,,,,05:17,05:12,,,,05:04,,,,05:03
7,24:37:00,,,,,,,,,,,,,,,,,,,07:30
8,25:19:00,,,,,,,,,07:42,07:26,07:09,,,06:55,,,,,06:55
9,31:42:00,,,,,,,,,,,,,,,,,,,08:06
10,24:15:00,,,,,,,,06:41,06:53,,,,,,,,,,06:37
Team 5,,,,,,,,,,,,,,,,,,,,
1,39:05:00,,,,,,,,,10:50,,,,,09:58,,,,,10:24
2,21:07,,,,,,,,,,,,,,,,,,,05:47
3,20:46,,,,,,,,,,,,,,,,05:23,05:28,05:18,05:27
4,20:41,,,,,,,,,,,,,,,,,,,05:49
5,30:57:00,,,,,,,,,,,,,,,,,,,09:01
6,20:11,,05:26,,,05:41,,,,,,05:32,,,,,,,,05:57
7,24:57:00,,,,,,,,,,05:42,,,,,,,,,05:38
8,17:00,,05:17,,,,,,,,,,,,,,,,,05:05
9,17:54,,,,,05:21,,,,,05:23,,,,,,,05:17,06:15,05:10
10,22:04,,,,,,,,,,,,,,,,,,,06:03
Team 6,,,,,,,,,,,,,,,,,,,,
1,24:00:00,,06:31,,,,,,,,,,,,,,,,,07:37
2,22:22,,,,,,,,,,,,,,,,,,,06:18
3,27:02:00,,,,,,,,,,,,,,,,,,,08:22
4,25:04:00,,,,,,,,,,,,,,,,,,,06:17
5,21:40,,,,,,,,,,,,,,,,,,,05:52
6,35:05:00,,,,,,,,,,,,,,,,,,,09:26
7,26:30:00,,,,,,,,,,,,,,,,,,,07:14
8,23:31,,,,,05:48,,,,05:50,,,05:50,,,05:37,05:38,,05:36,05:47
9,22:30,,07:00,,,06:44,06:45,06:54,,,06:59,,06:52,06:52,,,,,07:12,07:03
10,19:21,,,,,,,,,,,,,,,,,,,05:49
Team 7,,,,,,,,,,,,,,,,,,,,
1,21:08,,,,,,,,,06:14,,,,06:10,,,,,06:22,06:21
2,18:36,,05:35,,,05:34,,,,,05:33,05:35,,05:26,05:36,05:33,,,05:25,05:41
3,27:34:00,,,,,,07:16,07:19,07:11,,07:23,,,,,07:27,,,07:23,07:42
4,31:56:00,,08:07,,07:40,07:38,07:44,08:02,,,08:23,08:05,,,08:05,,,,08:04,08:42
5,23:41,,,,,,,,,,,,,,,06:56,,,,06:52
6,20:36,,,,,,,,,,,,,,,,,,,06:30
7,31:09:00,,,,,,,,,07:40,07:44,,,,07:45,,,,,08:42
8,32:51:00,,,,,,,,,,,,,,,,,,,10:03
9,18:24,,,,,,,,,,,,,,,,,,,05:50
10,28:01:00,,07:50,,,,,07:35,07:33,,,,,,,,,,,08:07
Team 8,,,,,,,,,,,,,,,,,,,,
1,24:39:00,,,,,,,,,,,,,,,,,,,08:19
2,22:13,,,,,,,,,,,,,,,,05:48,,,06:53
3,25:38:00,,,,,,,,,,,,,,,,,,,07:32
4,20:22,,,,,,,,,,,,,,,,,,,06:19
5,19:12,,,,,,,,,,,,,,,,,,,06:19
6,23:50:00,,,,,,,,,,,,,,,,,,,07:14
7,26:55:00,,,,,,,,,07:51,,,,,,,,,,08:03
8,19:28,,,,,,05:31,,,,,,,,,,,,,07:03
9,22:34,,,,,,,,,,,,,,,,,,,05:59
10,29:00:00,,,,,,,,,,,,,,,,,,,06:51
Team 9,,,,,,,,,,,,,,,,,,,,
1,24:30:00,,,,,,,,,,,,,,,,,,,08:22
2,19:53,,,,,,,,,,,,,,,,,,,05:23
3,25:45:00,,,,,,,,,,,,,,,,,,,06:53
4,28:30:00,,,,,,,,,,,,,,,,,,,07:06
5,18:42,,05:32,,,05:39,,,,,,,,,,,,,,05:32
6,18:43,,05:30,,,,,,,05:22,05:20,,,05:21,05:17,,,,,05:39
7,17:38,,,,,,,,,,,,,,,,,,,05:03
8,19:27,,,,,,,05:35,,,,,,,,,,05:51,,05:59
9,25:38:00,,,,,,,,,,,,,,,,,,,07:11
10,26:23:00,,07:57,,,,,,,,,,,,,,,,,08:19
Team 10,,,,,,,,,,,,,,,,,,,,
1,27:05:00,,,,07:38,07:45,07:43,07:31,,,07:30,,07:28,,,,,08:10,07:52,08:42
2,23:17,,,,,,,,,,,,,,,,,,,06:35
3,20:18,,,,,,,05:49,,,,,,,,,,,,05:48
4,25:28:00,,,,,,,,,,,,,,,,,,,06:59
5,19:08,,,,,,,,,,,,,,,,,,,05:27
6,30:00:00,,,,,,,,,,,,,,,,,,,06:39
7,19:38,,,,,,,,,,,,,,,,,,,05:28
8,26:31:00,,,,,,,,,,,,,,,,,,,07:23
9,22:15,,06:14,,,,,,,,,,,,,,,,,06:41
10,19:30,,05:30,,,,,,,,,,,,05:44,,,,,06:28
Team 11,,,,,,,,,,,,,,,,,,,,
1,32:57:00,,,,,,,,,,,,,,,,,,,10:10
2,33:33:00,,,,,,,,,,,,,,,,,,,09:18
3,18:22,,,,05:10,05:38,05:28,05:34,,,,05:17,,05:34,06:14,,,05:33,05:45,05:40
4,29:24:00,,,,,,,,,,,,,,,,,,,08:48
5,23:47,,,,,,,,,,,,,,,,,,,06:46
6,24:00:00,,,,,,,,,,,,,,,,,,,06:35
7,19:44,,05:13,,,,,,,,,,05:16,,,05:13,,,,05:23
8,20:04,,,,,,,,,,,,,,,,,,,05:29
9,29:24:00,,,,,,,,,,,,,,,,,,,08:16
10,25:00:00,,,,,,,,,,,,,,,,,,,07:27
Team 12,,,,,,,,,,,,,,,,,,,,
1,22:50,,,,,,,06:46,06:44,06:53,,,,,,,,,,07:08
2,18:02,,,,,,,,,,,,,,,,,,,05:13
3,24:21:00,,,,,,,,,,,,,,,,,,,06:39
4,37:39:00,,,,,,,,,,11:21,,,,,,,,,11:35
5,22:57,,,,,,,,,,,,,,,,,,,06:46
6,18:39,,05:45,,,,,,,,,,,05:29,05:27,,,,,05:23
7,23:45,,,,,,,,,,,,06:44,,,06:39,,,,07:27
8,25:20:00,,,,,,,,,,,,,,,,,,,07:13
9,25:55:00,,,,07:04,,,06:58,06:58,,,07:23,07:21,,07:18,07:26,,,07:17,07:35
10,25:00:00,,,,,,,,,,,,,,,,,,,09:17
